Date,Code,Open,Close,Volume
2018-11-21,FB,134.4,134.82,25469700
2018-11-21,GOOGL,1045.31,1043.43,1484900
2018-11-21,NFLX,274.42,262.13,11023000
2018-11-23,FB,133.65,131.73,11886100
2018-11-23,GOOGL,1033.5,1030.1,708900
2018-11-23,NFLX,260.11,258.82,5245100
2018-11-26,FB,133.0,136.38,24263600
2018-11-26,GOOGL,1044.0,1055.94,1577900
2018-11-26,NFLX,260.55,261.43,12498600
2018-11-27,FB,135.75,135.0,20750300
2018-11-27,GOOGL,1051.34,1052.28,1652400
2018-11-27,NFLX,259.24,266.63,11149500
2018-11-28,FB,136.28,136.76,29847500
2018-11-28,GOOGL,1057.46,1091.79,2302100
2018-11-28,NFLX,271.98,282.65,14801300
2018-11-29,FB,135.92,138.68,24238700
2018-11-29,GOOGL,1083.53,1094.58,1550200
2018-11-29,NFLX,282.32,288.75,15431500
2018-11-30,FB,138.26,140.61,25732600
2018-11-30,GOOGL,1095.63,1109.65,2983400
2018-11-30,NFLX,288.0,286.13,11860100
2018-12-03,FB,143.0,141.09,24819200
2018-12-03,GOOGL,1132.16,1116.36,2876600
2018-12-03,NFLX,293.19,290.3,14117400
2018-12-04,FB,140.73,137.93,30307400
2018-12-04,GOOGL,1112.99,1062.47,2281500
2018-12-04,NFLX,288.13,275.33,12800600
2018-12-06,FB,133.82,139.63,28218100
2018-12-06,GOOGL,1045.0,1078.08,2371800
2018-12-06,NFLX,268.33,282.88,13074300
2018-12-07,FB,139.25,137.42,21195500
2018-12-07,GOOGL,1072.23,1046.58,2134100
2018-12-07,NFLX,282.48,265.14,12466700
2018-12-10,FB,139.6,141.85,26422200
2018-12-10,GOOGL,1042.94,1053.18,1682600
2018-12-10,NFLX,264.19,269.7,9605600
2018-12-11,FB,143.88,142.08,20300300
2018-12-11,GOOGL,1066.94,1061.65,1692600
2018-12-11,NFLX,274.08,265.32,9843200
2018-12-12,FB,143.08,144.5,23696900
2018-12-12,GOOGL,1077.08,1073.73,1448000
2018-12-12,NFLX,267.66,274.88,11456700
2018-12-13,FB,145.57,145.01,18148600
2018-12-13,GOOGL,1075.67,1073.54,1249300
